Timestamp,Please select a character to submit matchup data for.,What is your approximate skill level?,What is your tag?,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus,"I attest that the data I am submitting is my actual opinion, and I am not submitting junk data to cause a headache."
9/22/2023 14:13:43,Link,Intermediate (I have participated in multiple tournaments),Kosp,60:40,40:60,55:45,55:45,45:55,55:45,45:55,60:40,60:40,50:50,55:45,70:30,60:40,55:45,50:50,50:50,45:55,45:55,70:30,55:45,50:50,50:50,55:45,60:40,55:45,50:50,60:40,50:50,60:40,55:45,55:45,60:40,40:60,55:45,45:55,,50:50,40:60,40:60,50:50,60:40,45:55,Yes
9/22/2023 14:21:53,Ike,Top Player (I have won regional or larger sized tournaments),Blitz,60:40,55:45,55:45,50:50,50:50,55:45,55:45,60:40,60:40,50:50,50:50,60:40,50:50,45:55,50:50,50:50,55:45,55:45,60:40,50:50,50:50,50:50,60:40,60:40,55:45,60:40,60:40,55:45,55:45,55:45,55:45,60:40,40:60,55:45,45:55,45:55,50:50,55:45,50:50,60:40,60:40,45:55,Yes
9/22/2023 14:24:53,Donkey Kong,Intermediate (I have participated in multiple tournaments),Karamel,50:50,50:50,55:45,55:45,50:50,55:45,50:50,50:50,,55:45,55:45,50:50,50:50,,50:50,,,50:50,,55:45,45:55,45:55,50:50,50:50,,55:45,,55:45,,50:50,50:50,,40:60,45:55,50:50,50:50,50:50,55:45,50:50,,40:60,50:50,Yes
9/22/2023 14:26:54,Zelda,High Level (I regularly make it out of pools in tournaments),slughugs,60:40,40:60,45:55,55:45,50:50,45:55,30:70,55:45,80:20,40:60,40:60,60:40,40:60,55:45,45:55,45:55,50:50,50:50,70:30,60:40,50:50,45:55,40:60,50:50,55:45,60:40,60:40,40:60,50:50,50:50,55:45,60:40,40:60,60:40,45:55,40:60,50:50,50:50,45:55,,50:50,45:55,Yes
9/22/2023 14:27:05,Ivysaur,Top Player (I have won regional or larger sized tournaments),Sabre,60:40,40:60,55:45,50:50,50:50,40:60,40:60,60:40,55:45,50:50,50:50,60:40,60:40,55:45,45:55,50:50,45:55,45:55,55:45,50:50,45:55,45:55,45:55,55:45,55:45,55:45,60:40,55:45,50:50,50:50,55:45,50:50,45:55,55:45,40:60,45:55,45:55,50:50,40:60,50:50,55:45,45:55,Yes
9/22/2023 14:37:29,Meta Knight,Top Player (I have won regional or larger sized tournaments),krumpberry,60:40,60:40,55:45,50:50,45:55,55:45,45:55,50:50,55:45,50:50,55:45,60:40,60:40,60:40,45:55,55:45,50:50,50:50,60:40,50:50,55:45,50:50,50:50,55:45,55:45,60:40,60:40,60:40,55:45,60:40,55:45,55:45,55:45,55:45,50:50,60:40,60:40,55:45,55:45,60:40,55:45,55:45,Yes
9/22/2023 14:47:36,Peach,Intermediate (I have participated in multiple tournaments),sweatpants ,70:30,55:45,30:70,60:40,,,40:60,,80:20,20:80,60:40,40:60,45:55,60:40,30:70,20:80,55:45,45:55,,55:45,20:80,30:70,20:80,,,,40:60,,30:70,40:60,60:40,,50:50,,30:70,30:70,20:80,60:40,40:60,,,30:70,Yes
9/22/2023 14:51:27,Ness,Intermediate (I have participated in multiple tournaments),PhoenixWrong,55:45,45:55,55:45,50:50,45:55,55:45,50:50,50:50,45:55,40:60,50:50,,,,45:55,,,50:50,50:50,45:55,45:55,40:60,,,,,,,50:50,50:50,45:55,50:50,45:55,50:50,50:50,,,50:50,45:55,,,,Yes
9/22/2023 14:56:35,Marth,Top Player (I have won regional or larger sized tournaments),Jonsch,70:30,40:60,40:60,55:45,60:40,60:40,55:45,70:30,45:55,45:55,60:40,60:40,30:70,60:40,60:40,60:40,60:40,70:30,60:40,50:50,50:50,55:45,50:50,70:30,70:30,70:30,60:40,60:40,50:50,55:45,60:40,60:40,40:60,70:30,70:30,70:30,60:40,60:40,50:50,55:45,60:40,20:80,Yes
9/22/2023 15:03:15,Wolf,Intermediate (I have participated in multiple tournaments),ne0,60:40,60:40,60:40,50:50,45:55,40:60,40:60,60:40,55:45,50:50,50:50,,55:45,,,50:50,,,,,45:55,45:55,50:50,55:45,,,55:45,50:50,,,,50:50,,55:45,50:50,,,,50:50,60:40,,,Yes
