Character,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus
Bowser,0.0,-1.28,-0.6346153846153846,-0.6666666666666666,-0.6666666666666666,-0.175,0.325,-0.6481481481481481,-1.3958333333333333,-0.7741935483870968,-1.5625,0.375,0.09523809523809523,-0.1875,-0.7777777777777778,-0.78,-0.9705882352941176,-0.6538461538461539,0.7894736842105263,-1.1590909090909092,-0.527027027027027,-0.8809523809523809,-0.7105263157894737,-0.8181818181818182,-0.5526315789473685,-0.8181818181818182,-0.3055555555555556,0.25,-0.029411764705882353,-0.68,1.3888888888888888,0.6052631578947368,-1.375,-1.1363636363636365,-1.1346153846153846,-1.0,-0.2647058823529412,-1.1,-0.4523809523809524,0.40476190476190477,0.32142857142857145,-1.1
Captain Falcon,1.28,0.0,0.17647058823529413,-0.1896551724137931,-0.019230769230769232,-0.7142857142857143,-0.5769230769230769,0.859375,0.9482758620689655,-0.04054054054054054,0.9864864864864865,0.5,1.1346153846153846,0.7727272727272727,-0.16666666666666666,0.8333333333333334,0.0,0.5277777777777778,1.0625,0.25925925925925924,0.13414634146341464,-1.2884615384615385,0.3333333333333333,0.16666666666666666,0.7083333333333334,0.6428571428571429,0.8125,0.45652173913043476,0.8695652173913043,0.8666666666666667,0.68,1.0625,-1.06,0.4444444444444444,0.1935483870967742,-0.26785714285714285,1.3409090909090908,0.18,-0.75,0.5,1.3541666666666667,-0.21666666666666667
Charizard,0.6346153846153846,-0.17647058823529413,0.0,-0.3939393939393939,0.2833333333333333,-0.0625,0.07142857142857142,0.8571428571428571,-1.44,0.08333333333333333,-0.525,1.1590909090909092,0.3620689655172414,0.34210526315789475,-0.18518518518518517,-0.06060606060606061,-0.872093023255814,-1.0227272727272727,1.0,-0.1935483870967742,0.34782608695652173,-0.8275862068965517,-0.48,-0.25,0.3392857142857143,0.25862068965517243,1.04,0.4583333333333333,-0.29545454545454547,0.22727272727272727,1.2777777777777777,0.84,-0.17307692307692307,0.3064516129032258,-0.8235294117647058,-0.3958333333333333,-0.8043478260869565,-0.08620689655172414,-1.0555555555555556,0.9,0.5178571428571429,-1.0588235294117647
Diddy Kong,0.6666666666666666,0.1896551724137931,0.3939393939393939,0.0,-0.68,0.10416666666666667,-0.25,0.46774193548387094,-0.44,-0.013888888888888888,0.11428571428571428,0.9117647058823529,1.0416666666666667,0.7647058823529411,-0.13636363636363635,0.06896551724137931,0.14864864864864866,0.4642857142857143,0.5,-0.9038461538461539,-0.4375,-0.10416666666666667,-0.675,0.4090909090909091,0.027777777777777776,0.0,0.4772727272727273,0.3333333333333333,0.11764705882352941,0.017241379310344827,0.5882352941176471,0.25,-0.22916666666666666,0.5714285714285714,-0.6206896551724138,-0.09259259259259259,0.5384615384615384,0.14583333333333334,-0.52,-0.02,0.3611111111111111,-0.46551724137931033
Donkey Kong,0.6666666666666666,0.019230769230769232,-0.2833333333333333,0.68,0.0,0.21428571428571427,0.5476190476190477,0.9285714285714286,-1.4166666666666667,-0.10606060606060606,-0.04838709677419355,0.78125,0.9047619047619048,0.8235294117647058,-0.25,0.64,-0.36764705882352944,0.15384615384615385,1.5,-0.391304347826087,0.35526315789473684,0.275,0.3157894736842105,0.25,0.34210526315789475,0.2608695652173913,0.6470588235294118,0.6578947368421053,0.9705882352941176,0.66,1.175,0.9166666666666666,-0.23809523809523808,-0.13636363636363635,-0.9423076923076923,0.717391304347826,-0.23529411764705882,0.08333333333333333,-0.11904761904761904,1.5952380952380953,0.9736842105263158,-0.06
Falco,0.175,0.7142857142857143,0.0625,-0.10416666666666667,-0.21428571428571427,0.0,0.025,0.3888888888888889,-0.16666666666666666,0.265625,0.7258064516129032,-0.21875,0.975,0.2647058823529412,0.1111111111111111,0.7,0.4,1.0769230769230769,0.8157894736842105,0.045454545454545456,-0.8513513513513513,-0.30952380952380953,-0.7105263157894737,0.6363636363636364,0.09375,1.0,-0.1388888888888889,0.7222222222222222,0.8,-0.52,-0.1388888888888889,-0.125,-0.15,0.2727272727272727,-0.11538461538461539,0.043478260869565216,1.2058823529411764,-0.15,0.11904761904761904,0.3333333333333333,0.34210526315789475,-0.32
Fox,-0.325,0.5769230769230769,-0.07142857142857142,0.25,-0.5476190476190477,-0.025,0.0,0.8703703703703703,0.08333333333333333,-0.078125,1.0161290322580645,1.375,0.25,0.8529411764705882,0.3235294117647059,1.08,0.5857142857142857,0.8461538461538461,0.8421052631578947,0.5227272727272727,-0.8513513513513513,0.2619047619047619,-0.23684210526315788,0.6590909090909091,0.07894736842105263,1.475,0.5263157894736842,0.5555555555555556,1.0,-0.3,0.07894736842105263,0.23684210526315788,0.45,0.6590909090909091,0.4230769230769231,1.0789473684210527,1.7692307692307692,0.225,0.16666666666666666,0.275,1.1944444444444444,0.20833333333333334
Ganondorf,0.6481481481481481,-0.859375,-0.8571428571428571,-0.46774193548387094,-0.9285714285714286,-0.3888888888888889,-0.8703703703703703,0.0,-0.08064516129032258,-0.7948717948717948,-1.0526315789473684,0.9347826086956522,0.4107142857142857,-0.2916666666666667,-1.0576923076923077,-0.265625,-0.8333333333333334,-0.675,0.8846153846153846,-0.20689655172413793,-0.6136363636363636,-0.9107142857142857,-0.019230769230769232,0.3275862068965517,0.23076923076923078,-0.5833333333333334,0.6458333333333334,-0.06521739130434782,-0.24,-0.5625,0.6296296296296297,0.6923076923076923,-1.462962962962963,-0.29310344827586204,-1.3333333333333333,-1.0689655172413792,-0.5,-0.875,-1.0357142857142858,0.7857142857142857,0.25,-1.15625
Ice Climbers,1.3958333333333333,-0.9482758620689655,1.44,0.44,1.4166666666666667,0.16666666666666666,-0.08333333333333333,0.08064516129032258,0.0,-0.5833333333333334,-0.48484848484848486,-0.1,1.9166666666666667,0.7857142857142857,0.75,-0.22916666666666666,-0.7105263157894737,0.8235294117647058,-0.9347826086956522,0.35,-0.5975609756097561,-0.2,-1.8333333333333333,0.3888888888888889,0.8913043478260869,0.5740740740740741,-1.5217391304347827,1.25,0.5,-0.4827586206896552,0.23809523809523808,-0.5434782608695652,1.8333333333333333,-0.04,0.3392857142857143,0.3333333333333333,-0.25,1.75,-0.2631578947368421,0.38,-1.4565217391304348,-0.8103448275862069
Ike,0.7741935483870968,0.04054054054054054,-0.08333333333333333,0.013888888888888888,0.10606060606060606,-0.265625,0.078125,0.7948717948717948,0.5833333333333334,0.0,0.046511627906976744,1.1428571428571428,0.19696969696969696,-0.23076923076923078,-0.3275862068965517,0.1875,-0.36363636363636365,0.08333333333333333,1.1451612903225807,0.014705882352941176,-0.19148936170212766,-0.48484848484848486,0.4,0.37037037037037035,0.6774193548387096,0.9264705882352942,1.2903225806451613,0.041666666666666664,-0.06896551724137931,0.08333333333333333,0.45,1.1,-0.7903225806451613,0.4264705882352941,-0.7428571428571429,-0.6470588235294118,0.043478260869565216,0.1956521739130435,-0.43333333333333335,0.9259259259259259,0.9838709677419355,-0.6527777777777778
Ivysaur,1.5625,-0.9864864864864865,0.525,-0.11428571428571428,0.04838709677419355,-0.7258064516129032,-1.0161290322580645,1.0526315789473684,0.48484848484848486,-0.046511627906976744,0.0,1.6666666666666667,1.15625,0.37037037037037035,-0.5862068965517241,-0.3333333333333333,-0.5365853658536586,-0.3333333333333333,0.5333333333333333,-0.12121212121212122,-0.6836734693877551,-0.8387096774193549,-0.2037037037037037,0.7727272727272727,0.6833333333333333,0.45588235294117646,1.1333333333333333,0.017241379310344827,-0.13793103448275862,-0.3194444444444444,0.27586206896551724,0.25,-0.3225806451612903,0.5,-0.8472222222222222,-0.5735294117647058,-1.1071428571428572,0.45161290322580644,-0.859375,-0.09375,0.48333333333333334,-0.7
Jigglypuff,-0.375,-0.5,-1.1590909090909092,-0.9117647058823529,-0.78125,0.21875,-1.375,-0.9347826086956522,0.1,-1.1428571428571428,-1.6666666666666667,0.0,-0.625,-0.3,-0.9285714285714286,-1.6388888888888888,-0.34782608695652173,-0.5,0.0,-1.1666666666666667,-0.7121212121212122,-1.3846153846153846,-1.8,-1.9333333333333333,-0.4090909090909091,-1.375,0.8214285714285714,-0.22727272727272727,-1.1363636363636365,-1.1111111111111112,-0.3333333333333333,0.375,0.07692307692307693,-0.3,-1.1578947368421053,-1.1875,-1.35,0.2,-0.625,-0.6470588235294118,-0.65,-0.7777777777777778
King Dedede,-0.09523809523809523,-1.1346153846153846,-0.3620689655172414,-1.0416666666666667,-0.9047619047619048,-0.975,-0.25,-0.4107142857142857,-1.9166666666666667,-0.19696969696969696,-1.15625,0.625,0.0,0.07692307692307693,-1.1666666666666667,-0.8461538461538461,-1.588235294117647,-1.7857142857142858,1.025,-1.2045454545454546,0.23684210526315788,-0.9047619047619048,-0.375,-1.4523809523809523,-0.1388888888888889,-0.6304347826086957,0.05555555555555555,-0.9705882352941176,-0.5,-0.5,0.95,0.85,-0.825,-0.7954545454545454,-1.5,-1.2826086956521738,-1.2058823529411764,-0.8823529411764706,-0.9761904761904762,-0.09090909090909091,1.0,-1.54
Kirby,0.1875,-0.7727272727272727,-0.34210526315789475,-0.7647058823529411,-0.8235294117647058,-0.2647058823529412,-0.8529411764705882,0.2916666666666667,-0.7857142857142857,0.23076923076923078,-0.37037037037037035,0.3,-0.07692307692307693,0.0,-0.8636363636363636,-0.6363636363636364,-0.4482758620689655,-0.16666666666666666,0.125,-0.6111111111111112,-0.6764705882352942,-0.8235294117647058,-1.3076923076923077,-1.1428571428571428,-0.2857142857142857,-0.7631578947368421,-0.5,-0.18181818181818182,-0.5,-0.4166666666666667,0.10714285714285714,0.25,0.42857142857142855,0.14705882352941177,-0.7380952380952381,-0.2631578947368421,-0.5,-0.15625,-0.9117647058823529,-0.43333333333333335,-0.21428571428571427,-0.3333333333333333
Knuckles,0.7777777777777778,0.16666666666666666,0.18518518518518517,0.13636363636363635,0.25,-0.1111111111111111,-0.3235294117647059,1.0576923076923077,-0.75,0.3275862068965517,0.5862068965517241,0.9285714285714286,1.1666666666666667,0.8636363636363636,0.0,0.21739130434782608,-0.018518518518518517,0.16666666666666666,0.7857142857142857,0.16666666666666666,-0.3888888888888889,0.3684210526315789,0.14705882352941177,0.375,0.6388888888888888,0.5555555555555556,0.84375,0.1,0.65625,0.75,0.375,0.8235294117647058,0.0,0.6842105263157895,-0.30434782608695654,0.2857142857142857,0.5666666666666667,0.08333333333333333,-0.3125,0.7368421052631579,0.5882352941176471,-0.06521739130434782
Link,0.78,-0.8333333333333334,0.06060606060606061,-0.06896551724137931,-0.64,-0.7,-1.08,0.265625,0.22916666666666666,-0.1875,0.3333333333333333,1.6388888888888888,0.8461538461538461,0.6363636363636364,-0.21739130434782608,0.0,-0.39473684210526316,-0.7777777777777778,1.75,-0.3148148148148148,-0.2261904761904762,-0.68,0.5416666666666666,0.7777777777777778,0.30434782608695654,0.2777777777777778,0.9791666666666666,0.09090909090909091,0.391304347826087,-0.06666666666666667,0.06521739130434782,0.6956521739130435,-1.36,0.3076923076923077,-0.8166666666666667,0.36538461538461536,-0.045454545454545456,-0.041666666666666664,-0.9807692307692307,0.38,0.9583333333333334,-0.7333333333333333
Lucario,0.9705882352941176,0.0,0.872093023255814,-0.14864864864864866,0.36764705882352944,-0.4,-0.5857142857142857,0.8333333333333334,0.7105263157894737,0.36363636363636365,0.5365853658536586,0.34782608695652173,1.588235294117647,0.4482758620689655,0.018518518518518517,0.39473684210526316,0.0,0.022727272727272728,0.06060606060606061,-0.3194444444444444,-0.40384615384615385,-0.10606060606060606,-0.18333333333333332,0.48214285714285715,0.15,0.53125,0.125,0.27586206896551724,0.5,0.8648648648648649,0.532258064516129,0.07142857142857142,-0.2903225806451613,0.6212121212121212,-0.3055555555555556,0.0,0.5714285714285714,0.034482758620689655,-0.703125,0.95,0.46296296296296297,-0.25
Lucas,0.6538461538461539,-0.5277777777777778,1.0227272727272727,-0.4642857142857143,-0.15384615384615385,-1.0769230769230769,-0.8461538461538461,0.675,-0.8235294117647058,-0.08333333333333333,0.3333333333333333,0.5,1.7857142857142858,0.16666666666666666,-0.16666666666666666,0.7777777777777778,-0.022727272727272728,0.0,0.375,-0.9,-1.0666666666666667,-0.42857142857142855,0.5,0.6,-0.4583333333333333,0.21875,-0.09090909090909091,0.2857142857142857,0.5,0.05555555555555555,-0.625,0.0,-0.5769230769230769,0.13333333333333333,0.19444444444444445,0.34375,-0.4,-0.2692307692307692,-1.0384615384615385,0.045454545454545456,0.05555555555555555,-0.5555555555555556
Luigi,-0.7894736842105263,-1.0625,-1.0,-0.5,-1.5,-0.8157894736842105,-0.8421052631578947,-0.8846153846153846,0.9347826086956522,-1.1451612903225807,-0.5333333333333333,0.0,-1.025,-0.125,-0.7857142857142857,-1.75,-0.06060606060606061,-0.375,0.0,0.19047619047619047,-1.4027777777777777,-1.5,-1.1,-1.5238095238095237,-0.1111111111111111,-1.1363636363636365,-0.3125,-0.2647058823529412,-0.29411764705882354,-0.7916666666666666,-0.14705882352941177,-0.16666666666666666,-0.8157894736842105,-0.125,-0.32,-0.29545454545454547,-1.0625,-0.34375,-0.7894736842105263,-0.8235294117647058,-0.5769230769230769,-0.3958333333333333
Mario,1.1590909090909092,-0.25925925925925924,0.1935483870967742,0.9038461538461539,0.391304347826087,-0.045454545454545456,-0.5227272727272727,0.20689655172413793,-0.35,-0.014705882352941176,0.12121212121212122,1.1666666666666667,1.2045454545454546,0.6111111111111112,-0.16666666666666666,0.3148148148148148,0.3194444444444444,0.9,-0.19047619047619047,0.0,-0.47435897435897434,0.2608695652173913,-0.8571428571428571,0.05,0.40476190476190477,0.5833333333333334,-0.4,0.7631578947368421,0.775,0.42592592592592593,0.0,0.23809523809523808,-0.11363636363636363,0.4583333333333333,0.5178571428571429,0.62,0.21052631578947367,0.18181818181818182,-0.42105263157894735,0.3695652173913043,-0.59375,-0.09615384615384616
Marth,0.527027027027027,-0.13414634146341464,-0.34782608695652173,0.4375,-0.35526315789473684,0.8513513513513513,0.8513513513513513,0.6136363636363636,0.5975609756097561,0.19148936170212766,0.6836734693877551,0.7121212121212122,-0.23684210526315788,0.6764705882352942,0.3888888888888889,0.2261904761904762,0.40384615384615385,1.0666666666666667,1.4027777777777777,0.47435897435897434,0.0,-0.18421052631578946,0.2361111111111111,1.0769230769230769,1.2916666666666667,1.3125,0.875,0.14705882352941177,0.1,0.20238095238095238,0.6756756756756757,0.5972222222222222,-0.527027027027027,0.8076923076923077,0.23809523809523808,0.8333333333333334,0.6666666666666666,0.5540540540540541,0.25,-0.27631578947368424,0.9861111111111112,-0.8333333333333334
Meta Knight,0.8809523809523809,1.2884615384615385,0.8275862068965517,0.10416666666666667,-0.275,0.30952380952380953,-0.2619047619047619,0.9107142857142857,0.2,0.48484848484848486,0.8387096774193549,1.3846153846153846,0.9047619047619048,0.8235294117647058,-0.3684210526315789,0.68,0.10606060606060606,0.42857142857142855,1.5,-0.2608695652173913,0.18421052631578946,0.0,-0.13157894736842105,0.5789473684210527,0.775,1.3695652173913044,0.8846153846153846,0.8611111111111112,0.6388888888888888,0.96,0.55,0.631578947368421,0.2,0.7954545454545454,-0.07692307692307693,0.9791666666666666,0.8333333333333334,0.3333333333333333,0.06818181818181818,0.7142857142857143,0.875,0.4423076923076923
Mewtwo,0.7105263157894737,-0.3333333333333333,0.48,0.675,-0.3157894736842105,0.7105263157894737,0.23684210526315788,0.019230769230769232,1.8333333333333333,-0.4,0.2037037037037037,1.8,0.375,1.3076923076923077,-0.14705882352941177,-0.5416666666666666,0.18333333333333332,-0.5,1.1,0.8571428571428571,-0.2361111111111111,0.13157894736842105,0.0,0.05,0.6764705882352942,0.42105263157894735,1.1071428571428572,0.21428571428571427,-0.7352941176470589,0.047619047619047616,0.4411764705882353,1.1,-0.07894736842105263,0.8095238095238095,-0.13043478260869565,0.0,-1.375,0.6842105263157895,-0.125,0.7058823529411765,0.8076923076923077,-0.8125
Mr. Game and Watch,0.8181818181818182,-0.16666666666666666,0.25,-0.4090909090909091,-0.25,-0.6363636363636364,-0.6590909090909091,-0.3275862068965517,-0.3888888888888889,-0.37037037037037035,-0.7727272727272727,1.9333333333333333,1.4523809523809523,1.1428571428571428,-0.375,-0.7777777777777778,-0.48214285714285715,-0.6,1.5238095238095237,-0.05,-1.0769230769230769,-0.5789473684210527,-0.05,0.0,0.0625,-0.7380952380952381,0.9444444444444444,0.4,-0.5,-0.13043478260869565,-0.30952380952380953,0.5882352941176471,0.10526315789473684,-0.15,-0.2608695652173913,0.1,-1.625,-0.3611111111111111,-0.3684210526315789,-1.0869565217391304,0.5952380952380952,-0.9074074074074074
Ness,0.5526315789473685,-0.7083333333333334,-0.3392857142857143,-0.027777777777777776,-0.34210526315789475,-0.09375,-0.07894736842105263,-0.23076923076923078,-0.8913043478260869,-0.6774193548387096,-0.6833333333333333,0.4090909090909091,0.1388888888888889,0.2857142857142857,-0.6388888888888888,-0.30434782608695654,-0.15,0.4583333333333333,0.1111111111111111,-0.40476190476190477,-1.2916666666666667,-0.775,-0.6764705882352942,-0.0625,0.0,-0.23809523809523808,0.0,0.1,-0.5588235294117647,-0.5833333333333334,-0.34210526315789475,0.3611111111111111,-0.7894736842105263,0.525,-0.375,0.5,-0.5666666666666667,-0.4473684210526316,-0.4473684210526316,0.3684210526315789,0.4411764705882353,-0.7608695652173914
Olimar,0.8181818181818182,-0.6428571428571429,-0.25862068965517243,0.0,-0.2608695652173913,-1.0,-1.475,0.5833333333333334,-0.5740740740740741,-0.9264705882352942,-0.45588235294117646,1.375,0.6304347826086957,0.7631578947368421,-0.5555555555555556,-0.2777777777777778,-0.53125,-0.21875,1.1363636363636365,-0.5833333333333334,-1.3125,-1.3695652173913044,-0.42105263157894735,0.7380952380952381,0.23809523809523808,0.0,0.575,-0.275,-0.14285714285714285,-0.42857142857142855,-0.6,0.5909090909090909,-1.125,1.0416666666666667,-1.1666666666666667,0.25,-0.15,0.4,-1.2272727272727273,-0.0625,0.29411764705882354,-1.0
Peach,0.3055555555555556,-0.8125,-1.04,-0.4772727272727273,-0.6470588235294118,0.1388888888888889,-0.5263157894736842,-0.6458333333333334,1.5217391304347827,-1.2903225806451613,-1.1333333333333333,-0.8214285714285714,-0.05555555555555555,0.5,-0.84375,-0.9791666666666666,-0.125,0.09090909090909091,0.3125,0.4,-0.875,-0.8846153846153846,-1.1071428571428572,-0.9444444444444444,0.0,-0.575,0.0,0.6,-0.3125,-0.6041666666666666,0.29411764705882354,0.3235294117647059,-0.6052631578947368,-0.4444444444444444,-0.55,-0.5681818181818182,-1.0,-0.2777777777777778,-0.2631578947368421,0.4722222222222222,-0.5882352941176471,-1.125
