Character,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus
Bowser,0.0,0.16852299546352717,0.1429300321235542,0.20611564746694744,0.15936381457791915,0.2302029996603684,0.2330433661924659,0.152880264338557,0.16201618798466444,0.0830814785895994,0.12650306001654024,0.17969882210706523,0.18132793109199782,0.1818596070232933,0.11590946307822354,0.11210114480533491,0.13003012209398748,0.15384615384615385,0.149637913238877,0.16898719064510528,0.1597035846958184,0.14599723539767517,0.2397482520827447,0.2601728000228003,0.11403508771929824,0.17881722556123705,0.2833589633416025,0.16457014715109583,0.23275282046094725,0.08602325267042628,0.20830609843769005,0.08181911450077906,0.19491901152178967,0.2964103753015122,0.09011826549123063,0.13336626734231613,0.29740806494348065,0.11239029738980325,0.17561037061510262,0.10129546374372687,0.2600039246171614,0.1224744871391589
Captain Falcon,0.16852299546352717,0.0,0.16335709512099855,0.12753294055172038,0.14272288704061134,0.09494000970179471,0.16335969678150233,0.08762771497335539,0.18954318234060089,0.09566108370087976,0.10157632688089806,0.05976143046671968,0.12265552860847673,0.12624819542352975,0.12286829679574761,0.07323922906700685,0.10710268509797352,0.07532307563147785,0.08138575615147793,0.14215068238708106,0.0873463638022926,0.13059943727961265,0.11126197487524701,0.12229989761755714,0.08468112965594381,0.17415165283723563,0.13053853059926215,0.17192540056072372,0.07180198468215396,0.09264111117062014,0.06377042156569664,0.12155581112144047,0.12013880860626733,0.13164890427990908,0.1345590555781562,0.14429664948870405,0.12477843409464698,0.08602325267042626,0.05000000000000001,0.15689290811054724,0.14890654187294927,0.09186238249690491
Charizard,0.1429300321235542,0.16335709512099855,0.0,0.08907557588109732,0.11910425582148301,0.22383454195881622,0.15582661838152267,0.10956642697819577,0.10132456102380442,0.08333333333333333,0.08576578123452983,0.1060219471907012,0.12381594805474685,0.10850277962151737,0.12559870339120865,0.08637692614387409,0.06674902842046351,0.09578380647911468,0.08660254037844387,0.1054366735356222,0.0863505455638622,0.08694267288040783,0.14854853303438126,0.12986562041232994,0.06830124792880359,0.06850213785799694,0.15524174696260024,0.09477598811252413,0.09104427178808705,0.12704931690339716,0.10450443812510668,0.04760952285695234,0.10721046049820271,0.07576640442990458,0.07576806050965108,0.1854761954594864,0.21025847643279574,0.1531061110139907,0.16086777969845054,0.20538721490389075,0.0832624415014178,0.11123337441584809
Diddy Kong,0.20611564746694744,0.1275329405517204,0.08907557588109734,0.0,0.09949874371066199,0.16201618798466447,0.2149317384052738,0.10089780806619787,0.15088627063675036,0.0645070166944796,0.06824853951007379,0.047652505135351915,0.11227500313294325,0.06239177481057773,0.11482066848376489,0.09521862945851088,0.08189035568782814,0.11074529874036468,0.14405203276001521,0.14681026679994091,0.0784209139425813,0.0423405648279719,0.13705070133655686,0.04208273180784324,0.09455971435444634,0.07647191129018724,0.181615146375935,0.07968190728895959,0.1008184500058977,0.11501434538039945,0.18308675879395192,0.13327849749579576,0.11648212630610875,0.13041013273932525,0.08100041208081453,0.10687558679146833,0.1053312610586858,0.056137501566471626,0.0888819441731559,0.1337908816025965,0.1972256742770703,0.06532900103386623
Donkey Kong,0.15936381457791915,0.1427228870406113,0.119104255821483,0.09949874371066199,0.0,0.2224630214628206,0.19792002324400385,0.11983864182969445,0.15830472663009768,0.060606060606060615,0.07813291236380622,0.16437222747978647,0.1319228112113816,0.09530501027070383,0.10105651043180541,0.06137317546507324,0.06440743032324013,0.1313711636661487,0.14306584587982532,0.15385854643598362,0.10981021831240785,0.17945458302428793,0.171894017037416,0.1758438302346117,0.17122123943809767,0.14700422548238268,0.20456511387122878,0.07697337181922914,0.07987338596470746,0.05567764362830022,0.21544018586190117,0.0451938453788867,0.18777851574409862,0.24215352850124666,0.10858149394994698,0.13639227516188632,0.348625576209697,0.12941547825925576,0.13320572124475585,0.1813279310919978,0.1891566548495423,0.11661903789690602
Falco,0.2302029996603684,0.09494000970179471,0.22383454195881622,0.16201618798466444,0.2224630214628206,0.0,0.06761929030278735,0.15175453764585214,0.1191252334983594,0.0952087450874605,0.0606360093757922,0.12049161450767712,0.21907400816306705,0.075703162801375,0.08627698550617051,0.1,0.13093073414159542,0.15858098560067924,0.0568486026176128,0.11819846702576664,0.07214242062183318,0.08074202360863417,0.15910839602821975,0.12388820797622668,0.18381801462315928,0.1602863051066531,0.10545230588406898,0.11590946307822354,0.06546536707079771,0.09345230512584125,0.0886127245944853,0.1479019945774904,0.06386663736585052,0.13454779452744633,0.08904489925223251,0.10384430557643996,0.1359797206537274,0.0895897080555221,0.10296070624018881,0.18365772167311326,0.1271173398788547,0.09521904571390467
Fox,0.23304336619246602,0.16335969678150233,0.1558266183815227,0.2149317384052738,0.19792002324400385,0.06761929030278735,0.0,0.11813059734426176,0.06501579146712451,0.1006765796474837,0.11236430518376887,0.18540496217739158,0.17206180040292132,0.3529411764705882,0.05973557650467618,0.12476644848141934,0.13824487208523556,0.24925925763107154,0.054780684196477164,0.11620474135177454,0.09264398108650061,0.11761037176408067,0.08859214858212348,0.15909090909090906,0.1392500690033995,0.15163581718258906,0.08087319699379725,0.11353563899372687,0.0,0.1,0.12249333371727139,0.1449360670338448,0.1019545822516343,0.08313632754159583,0.16335969678150233,0.10304684319711167,0.23076923076923078,0.0923024205647136,0.10540925533894598,0.13315503429421935,0.20267366832304043,0.13089943405434873
Ganondorf,0.152880264338557,0.08762771497335539,0.10956642697819577,0.10089780806619787,0.11983864182969446,0.15175453764585214,0.11813059734426173,0.0,0.1313633518588238,0.05725958575864178,0.11895328476329751,0.1672385217236366,0.10620177532597329,0.12739256153441422,0.0576923076923077,0.10763301738524109,0.047181497321601866,0.14633685005565253,0.09730085108210398,0.15795265195050073,0.1039185172894287,0.14560031594410583,0.13722740596085597,0.16134415010012138,0.14995068222783023,0.14199589870500537,0.1258275744915059,0.1344890338407042,0.11590225767142474,0.1047029207467644,0.10871102010449524,0.08355984993230936,0.12208401060436369,0.16180410177678467,0.09401267913629435,0.14410445789468054,0.07962775715882577,0.12857214745600726,0.10889224392073209,0.14186161056920218,0.12480754415067656,0.11972225080873512
Ice Climbers,0.16201618798466444,0.18954318234060089,0.10132456102380442,0.15088627063675034,0.15830472663009768,0.1191252334983594,0.06501579146712451,0.13136335185882383,0.0,0.04671765921511568,0.08281519359498275,0.11239029738980325,0.18955197622504827,0.05532833351724883,0.05455447255899809,0.10842735607720831,0.13938441545915606,0.2306527520787959,0.20685951159098062,0.15000000000000002,0.1147897231780497,0.09574271077563382,0.16666666666666669,0.13741043164463165,0.16015223038213974,0.09130154050690636,0.1647799492938801,0.19111769678910956,0.10502100630210073,0.1414273617729615,0.11243541860111997,0.16607847173244658,0.13003158293424902,0.1846618531261939,0.16677292531097504,0.22957907724039817,0.42573465914816,0.22722331478659646,0.11703214091338889,0.14224392195567911,0.17477552932391713,0.20222559876951737
Ike,0.0830814785895994,0.09566108370087972,0.08333333333333333,0.0645070166944796,0.060606060606060615,0.0952087450874605,0.1006765796474837,0.05725958575864178,0.04671765921511568,0.0,0.07771293665024583,0.06734350297014738,0.1392270905264326,0.08426500884694864,0.044912764849286864,0.06640995601613146,0.059427404243902256,0.10279899245732688,0.12740914618149357,0.044707875928905925,0.05598580724354027,0.07688554215978954,0.12583057392117916,0.11507644118872197,0.059334966285253324,0.10153095675101949,0.11065346844892848,0.09943985631603956,0.08496644488010019,0.07042952122737639,0.06927373654360393,0.0909717652294684,0.0450459356250611,0.09704261734737704,0.05565284265478469,0.06516608345964675,0.09897220573556458,0.10770297702323094,0.08554535441995227,0.12433212948164842,0.11473173705663704,0.038931382679263056
